"","account_id","acct_creation_date","statement_frequency","account_district","num_customers","credit_cards","loan_date","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","max_balance","min_balance","credit_bank_transfer_other_txn_ct","credit_bank_transfer_other_txn_tot","credit_bank_transfer_other_avg_txn","credit_cash_other_txn_ct","credit_cash_other_txn_tot","credit_cash_other_avg_txn","credit_other_interest_credit_txn_ct","credit_other_interest_credit_txn_tot","credit_other_interest_credit_avg_txn","debit_bank_transfer_household_payment_txn_ct","debit_bank_transfer_household_payment_txn_tot","debit_bank_transfer_household_payment_avg_txn","debit_cash_statement_charge_txn_ct","debit_cash_statement_charge_txn_tot","debit_cash_statement_charge_avg_txn","debit_cash_other_txn_ct","debit_cash_other_txn_tot","debit_cash_other_avg_txn","debit_bank_transfer_loan_payment_txn_ct","debit_bank_transfer_loan_payment_txn_tot","debit_bank_transfer_loan_payment_avg_txn","debit_bank_transfer_insurance_payment_txn_ct","debit_bank_transfer_insurance_payment_txn_tot","debit_bank_transfer_insurance_payment_avg_txn","debit_bank_transfer_other_txn_ct","debit_bank_transfer_other_txn_tot","debit_bank_transfer_other_avg_txn","credit_bank_transfer_pension_benefit_txn_ct","credit_bank_transfer_pension_benefit_txn_tot","credit_bank_transfer_pension_benefit_avg_txn","debit_credit_card_other_txn_ct","debit_credit_card_other_txn_tot","debit_credit_card_other_avg_txn","debit_cash_household_payment_txn_ct","debit_cash_household_payment_txn_tot","debit_cash_household_payment_avg_txn","debit_cash_negative_balance_charge_txn_ct","debit_cash_negative_balance_charge_txn_tot","debit_cash_negative_balance_charge_avg_txn","debit_cash_insurance_payment_txn_ct","debit_cash_insurance_payment_txn_tot","debit_cash_insurance_payment_avg_txn","pmt_order_ct","pmt_order_avg_amt","owner_client_id","gender","birth_date","owner_district"
"2704",3021,"1996-04-20","monthly","Praha - vychod",1,NA,"1996-12-04",155616,3242,48,"current",FALSE,22700,15,62154,300,32,680782,21274.4375,3,8900,2966.66666666667,32,3880,121.25,0,0,0,27,405,15,58,591951,10206.0517241379,25,81050,3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3241.8,3649,"F","1959-10-25","Praha - vychod"
"2718",3037,"1994-05-26","monthly","Chrudim",1,NA,"1996-04-18",277884,7719,36,"current",TRUE,63000,1,129394,-2507,0,0,0,52,1159211,22292.5192307692,51,5582,109.450980392157,0,0,0,47,705,15,64,810346,12661.65625,16,123504,7719,0,0,0,0,0,0,0,0,0,0,0,0,36,224200,6227.77777777778,3,33,11,0,0,0,1,7718.7,3670,"F","1980-09-17","Chrudim"
"2730",3050,"1993-05-08","monthly","Prostejov",2,NA,"1994-09-02",82896,6908,12,"expired",FALSE,55100,15,116804,900,67,3025491,45156.5820895522,8,27600,3450,67,14503,216.462686567164,63,612108,9716,62,930,15,182,2249203,12358.2582417582,12,82896,6908,63,2583,41,63,7497,119,0,0,0,22,56500,2568.18181818182,0,0,0,0,0,0,0,0,0,4,4195.875,NA,"","",""
"2743",3064,"1993-05-23","monthly","Teplice",1,NA,"1995-03-21",15420,1285,12,"expired",FALSE,11840,15,60755,1000,0,0,0,99,771142,7789.31313131313,67,9768,145.791044776119,62,90210,1455,62,930,15,148,325980,2202.56756756757,12,15420,1285,0,0,0,62,292268,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2484.66666666667,NA,"","",""
"2782",3112,"1994-08-12","monthly","Louny",2,NA,"1996-02-24",123216,2567,48,"current",FALSE,60700,15,155867,700,0,0,0,91,2435976,26768.967032967,53,14587,275.22641509434,45,66060,1468,44,660,15,116,2114459,18228.0948275862,34,87278,2567,0,0,0,45,71280,1584,0,0,0,11,33000,3000,0,0,0,0,0,0,0,0,0,3,1873.1,3763,"F","1977-08-12","Louny"
"2785",3115,"1996-03-27","monthly","Ceske Budejovice",2,NA,"1996-11-15",321180,5353,60,"current",FALSE,34000,15,90257,700,33,1156320,35040,5,3600,720,33,4347,131.727272727273,29,426967,14723,28,420,15,53,581060,10963.3962264151,25,133825,5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10038.15,3767,"M","1936-09-07","Ceske Budejovice"
"2806",3137,"1996-12-15","monthly","Most",1,NA,"1998-09-21",253560,4226,60,"current",FALSE,25900,15,76510,900,24,659332,27472.1666666667,2,3000,1500,24,3623,150.958333333333,0,0,0,19,285,15,54,602217,11152.1666666667,3,12681,4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4226.5,3793,"F","1951-06-20","Most"
"2811",3143,"1996-10-18","monthly","Louny",2,NA,"1998-05-15",130896,5454,24,"current",FALSE,7300,15,59233,300,0,0,0,49,311792,6363.10204081633,26,3958,152.230769230769,21,93954,4474,21,315,15,37,131180,3545.40540540541,7,38178,5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4964,3800,"F","1954-06-15","Louny"
"2826",3161,"1996-08-26","monthly","Rychnov nad Kneznou",1,NA,"1998-06-16",30012,2501,12,"current",FALSE,56000,15,127752,700,0,0,0,35,788768,22536.2285714286,28,5112,182.571428571429,0,0,0,18,270,15,56,742276,13254.9285714286,6,15006,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2501,3822,"M","1953-11-26","Rychnov nad Kneznou"
"2829",3166,"1993-08-10","monthly","Novy Jicin",1,NA,"1995-01-03",177744,3703,48,"current",TRUE,55900,2,145957,-2486,0,0,0,97,2096631,21614.7525773196,63,12603,200.047619047619,0,0,0,61,915,15,139,1830520,13169.2086330935,45,166635,3703,0,0,0,0,0,0,0,0,0,18,45800,2544.44444444444,0,0,0,4,30,7.5,0,0,0,1,3702.8,NA,"","",""
"2852",3189,"1995-11-29","monthly","Rokycany",1,NA,"1996-12-15",222180,3703,60,"current",TRUE,52600,14,130659,-5968,0,0,0,42,729117,17359.9285714286,37,5587,151,0,0,0,30,450,15,66,642933,9741.40909090909,20,74060,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,0,0,0,1,3702.8,3855,"M","1939-03-20","Rokycany"
"2887",3229,"1995-11-18","monthly","Zlin",1,NA,"1997-05-01",39024,3252,12,"expired",FALSE,58400,15,141938,300,0,0,0,53,1230635,23219.5283018868,37,7236,195.567567567568,35,238980,6828,34,510,15,69,717596,10399.9420289855,12,39024,3252,0,0,0,35,224385,6411,0,0,0,2,3100,1550,0,0,0,0,0,0,0,0,0,3,5497.06666666667,3906,"M","1936-12-23","Zlin"
"2888",3230,"1995-03-11","monthly","Hl.m. Praha",1,NA,"1996-10-04",77184,2144,36,"current",FALSE,63600,15,142918,200,0,0,0,61,1601495,26254.0163934426,43,8645,201.046511627907,0,0,0,35,525,15,98,1444130,14736.0204081633,27,57888,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2144,3907,"F","1954-12-09","Hl.m. Praha"
"2906",3249,"1996-10-11","monthly","Ostrava - mesto",1,NA,"1997-08-27",68124,5677,12,"expired",FALSE,21200,15,72161,1100,0,0,0,29,599967,20688.5172413793,26,3923,150.884615384615,22,180334,8197,21,315,15,52,297480,5720.76923076923,12,68124,5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6937,3929,"M","1957-11-01","Ostrava - mesto"
"2927",3273,"1995-12-29","monthly","Ostrava - mesto",1,NA,"1997-09-21",94512,7876,12,"expired",TRUE,78900,1,133408,-6201,36,1940682,53907.8333333333,2,4600,2300,72,9393,130.458333333333,0,0,0,31,465,15,92,1889070,20533.3695652174,9,70884,7876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,404,22.4444444444444,0,0,0,1,7876,3962,"M","1952-11-28","Ostrava - mesto"
"2946",3293,"1997-08-08","monthly","Hl.m. Praha",1,NA,"1998-11-27",276084,7669,36,"current",FALSE,46900,15,132187,1100,17,851222,50071.8823529412,2,3900,1950,17,4489,264.058823529412,12,38772,3231,12,180,15,53,730146,13776.3396226415,1,7669,7669,13,754,58,26,10244,394,0,0,0,2,6600,3300,0,0,0,0,0,0,0,0,0,5,2349.14,3984,"F","1964-03-13","Hl.m. Praha"
"2978",3329,"1996-10-12","monthly","Beroun",2,NA,"1997-12-08",19248,1604,12,"expired",FALSE,30080,15,65132,200,0,0,0,32,552579,17268.09375,26,3752,144.307692307692,22,203478,9249,21,315,15,51,296060,5805.09803921569,12,19248,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5426.5,4024,"M","1964-10-16","Beroun"
"2999",3353,"1996-08-27","monthly","Ostrava - mesto",1,NA,"1997-02-09",146064,6086,24,"current",FALSE,47400,15,131271,200,0,0,0,45,1003161,22292.4666666667,28,4496,160.571428571429,23,244168,10616,23,345,15,43,577760,13436.2790697674,22,133892,6086,23,9522,414,23,1334,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4293.55,4055,"F","1953-06-01","Ostrava - mesto"
"3000",3354,"1993-11-05","monthly","Vyskov",1,NA,"1994-07-05",4980,415,12,"expired",FALSE,19300,15,50991,800,0,0,0,75,735360,9804.8,62,6750,108.870967741935,57,27873,489,57,855,15,156,437000,2801.28205128205,12,4980,415,58,89320,1540,56,151424,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1287,4056,"F","1952-07-26","Vyskov"
"3040",3403,"1997-05-20","monthly","Vyskov",1,NA,"1998-06-27",71820,1995,36,"current",FALSE,47600,15,126305,700,0,0,0,34,751625,22106.6176470588,19,4115,216.578947368421,0,0,0,16,240,15,52,635599,12223.0576923077,6,11970,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,4114,"M","1964-02-09","Vyskov"
"3082",3455,"1996-03-13","monthly","Chomutov",1,NA,"1997-03-07",67464,5622,12,"expired",FALSE,36800,15,111360,600,33,1214457,36801.7272727273,2,1000,500,33,6997,212.030303030303,0,0,0,28,420,15,82,1054455,12859.2073170732,12,67476,5623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5622.5,4177,"M","1935-12-25","Chomutov"
"3087",3460,"1997-04-08","monthly","Jindrichuv Hradec",2,NA,"1998-05-29",140688,2931,48,"current",FALSE,40700,15,144580,300,0,0,0,27,519688,19247.7037037037,19,3230,170,0,0,0,18,270,15,43,492301,11448.8604651163,7,20517,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2931,4182,"M","1941-06-23","Jindrichuv Hradec"
"3112",3489,"1994-12-08","monthly","Nymburk",1,NA,"1995-08-01",44088,1837,24,"expired",FALSE,24480,15,65421,1000,0,0,0,51,848060,16628.6274509804,48,8355,174.0625,44,148412,3373,43,645,15,90,616900,6854.44444444444,24,44088,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2605,4217,"F","1951-06-25","Nymburk"
"3177",3556,"1997-08-29","monthly","Jihlava",1,NA,"1998-09-22",174840,2914,60,"current",FALSE,18641,15,64670,1100,16,305951,19121.9375,6,18900,3150,16,2079,129.9375,12,50880,4240,11,165,15,37,232842,6293.02702702703,3,8742,2914,0,0,0,12,11808,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2712.6,4291,"F","1951-05-07","Jihlava"
"3183",3562,"1996-07-19","monthly","Svitavy",1,NA,"1998-05-24",174960,7290,24,"current",FALSE,62900,15,159286,1000,0,0,0,53,1288305,24307.641509434,29,6913,238.379310344828,0,0,0,26,390,15,85,1190484,14005.6941176471,7,51037,7291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7290.5,4299,"F","1977-09-15","Svitavy"
"3242",3629,"1993-07-27","monthly","Rychnov nad Kneznou",1,NA,"1995-05-30",158760,2646,60,"current",FALSE,17200,15,59898,900,65,1119052,17216.1846153846,23,39500,1717.39130434783,65,6723,103.430769230769,60,113640,1894,60,900,15,94,363294,3864.82978723404,43,113778,2646,60,524520,8742,60,22080,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3412.375,4377,"M","1978-01-31","Rychnov nad Kneznou"
"3248",3637,"1995-10-28","monthly","Blansko",1,NA,"1997-09-01",14028,1169,12,"expired",FALSE,21280,15,88924,400,0,0,0,42,672304,16007.2380952381,38,8289,218.131578947368,34,165818,4877,33,495,15,87,418480,4810.11494252874,12,14028,1169,0,0,0,34,7446,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2088.33333333333,4386,"F","1945-12-27","Blansko"
"3272",3664,"1996-04-28","monthly","Hl.m. Praha",1,NA,"1997-09-20",271584,5658,48,"current",FALSE,60900,15,115113,800,0,0,0,48,1256997,26187.4375,32,8609,269.03125,0,0,0,24,360,15,76,1098730,14456.9736842105,15,84870,5658,0,0,0,0,0,0,0,0,0,3,8300,2766.66666666667,0,0,0,0,0,0,0,0,0,1,5658,4417,"M","1976-04-24","Hl.m. Praha"
"3281",3674,"1993-03-12","monthly","Louny",1,NA,"1994-09-10",23628,1969,12,"expired",FALSE,64500,15,157161,1000,0,0,0,146,3497094,23952.698630137,70,18057,257.957142857143,64,608192,9503,64,960,15,214,2793814,13055.2056074766,12,23628,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5735.85,4428,"M","1954-03-09","Louny"
"3285",3678,"1993-03-24","monthly","Hl.m. Praha",1,NA,"1995-02-05",316140,5269,60,"current",TRUE,9500,4,39616,-15009,0,0,0,103,794681,7715.34951456311,55,2879,52.3454545454545,0,0,0,64,960,15,62,195060,3146.12903225806,41,216029,5269,0,0,0,0,0,0,0,0,0,0,0,0,65,390100,6001.53846153846,24,1116,46.5,0,0,0,1,5269,4433,"M","1968-02-22","Hl.m. Praha"
"3286",3679,"1995-08-15","monthly","Zlin",2,NA,"1996-07-23",444864,9268,48,"current",FALSE,16300,15,63172,800,0,0,0,70,846487,12092.6714285714,40,5608,140.2,35,135415,3869,35,525,15,55,223440,4062.54545454545,29,268772,9268,0,0,0,35,180180,5148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6095,4434,"M","1964-03-29","Zlin"
"3315",3711,"1997-05-08","monthly","Beroun",1,NA,"1997-11-05",460980,7683,60,"current",TRUE,36300,2,103750,-6280,0,0,0,18,381359,21186.6111111111,16,1485,92.8125,0,0,0,15,225,15,21,239850,11421.4285714286,9,69147,7683,0,0,0,0,0,0,0,0,0,0,0,0,12,75700,6308.33333333333,10,304,30.4,0,0,0,1,7683.2,4474,"F","1964-12-09","Beroun"
"3347",3747,"1994-05-01","monthly","Hl.m. Praha",1,NA,"1995-01-02",76380,6365,12,"expired",FALSE,8700,15,41703,1100,0,0,0,86,645714,7508.3023255814,56,3764,67.2142857142857,52,124228,2389,51,765,15,60,258040,4300.66666666667,12,76380,6365,52,78000,1500,52,95004,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3020.25,4520,"F","1957-06-28","Hl.m. Praha"
"3352",3752,"1994-11-25","monthly","Hl.m. Praha",1,NA,"1995-04-02",18564,1547,12,"expired",FALSE,18100,15,93906,200,0,0,0,51,914896,17939.137254902,49,10341,211.040816326531,45,144810,3218,44,660,15,119,671920,5646.38655462185,12,18564,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2382.5,4527,"F","1963-02-04","Hl.m. Praha"
"3396",3804,"1994-04-07","monthly","Melnik",1,NA,"1996-02-08",63252,5271,12,"expired",FALSE,31800,15,86343,13098,57,1960688,34398.0350877193,5,8900,1780,57,10478,183.824561403509,53,34079,643,52,780,15,161,1605806,9973.95031055901,12,63252,5271,0,0,0,53,236274,4458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3457.23333333333,4584,"F","1949-06-24","Melnik"
"3424",3834,"1993-01-19","monthly","Brno - mesto",2,NA,"1994-09-28",23052,1921,12,"expired",FALSE,24000,15,54322,700,0,0,0,87,1116369,12831.8275862069,71,7372,103.830985915493,66,205524,3114,66,990,15,164,610760,3724.14634146341,12,23052,1921,66,210474,3189,133,42304,318.075187969925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1772.2,4620,"F","1940-11-01","Brno - mesto"
"3447",3859,"1996-04-23","monthly","Blansko",1,NA,"1997-05-02",307200,5120,60,"current",TRUE,61400,0,142668,-11549,0,0,0,37,905630,24476.4864864865,32,3439,107.46875,0,0,0,25,375,15,65,837088,12878.2769230769,10,51200,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.5,0,0,0,1,5120.2,4652,"M","1962-02-26","Blansko"
"3450",3862,"1996-11-23","monthly","Hl.m. Praha",1,NA,"1998-09-18",74916,2081,36,"current",FALSE,60500,15,143677,600,0,0,0,50,1322009,26440.18,24,5032,209.666666666667,20,70160,3508,19,285,15,70,1037680,14824,3,6243,2081,0,0,0,20,156480,7824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4470.93333333333,4656,"M","1942-09-16","Hl.m. Praha"
"3462",3875,"1997-10-18","monthly","Chrudim",1,NA,"1998-02-10",153936,6414,24,"current",FALSE,53000,15,117929,1100,14,596471,42605.0714285714,1,1100,1100,14,2876,205.428571428571,0,0,0,9,135,15,25,478270,19130.8,10,64140,6414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6413.7,4672,"M","1949-08-28","Chrudim"
"3490",3906,"1997-07-08","monthly","Usti nad Orlici",2,NA,"1998-03-08",334620,5577,60,"current",FALSE,35300,15,98482,1100,18,652548,36252.6666666667,2,9800,4900,18,5328,296,0,0,0,13,195,15,33,518584,15714.6666666667,10,55770,5577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5577.3,4710,"F","1961-05-09","Usti nad Orlici"
"3491",3907,"1996-04-18","monthly","Litomerice",1,NA,"1998-03-16",133848,5577,24,"current",FALSE,49800,15,133751,600,0,0,0,40,949547,23738.675,32,5044,157.625,0,0,0,29,435,15,63,858444,13626.0952380952,9,50193,5577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5577.3,4712,"F","1960-06-06","Litomerice"
"3500",3916,"1997-09-28","monthly","Mlada Boleslav",1,NA,"1998-07-12",96984,2694,36,"current",FALSE,21000,15,50063,800,15,266673,17778.2,3,7400,2466.66666666667,15,971,64.7333333333333,11,119900,10900,10,150,15,12,83800,6983.33333333333,6,16164,2694,11,28270,2570,11,11858,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4310.425,4722,"M","1972-01-28","Mlada Boleslav"
"3534",3953,"1997-06-16","monthly","Hl.m. Praha",1,NA,"1998-01-04",63576,5298,12,"current",FALSE,78000,6,109399,201,18,619827,34434.8333333333,4,39900,9975,36,8395,233.194444444444,0,0,0,13,195,15,43,549773,12785.4186046512,9,47682,5298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,6.5,0,0,0,1,5297.7,4768,"F","1960-04-03","Hl.m. Praha"
"3546",3967,"1996-09-22","monthly","Brno - mesto",1,NA,"1997-03-29",84600,2350,36,"current",TRUE,77400,15,171098,-2920,0,0,0,56,1235397,22060.6607142857,27,5274,195.333333333333,0,0,0,24,360,15,62,1107956,17870.2580645161,20,47000,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2349.5,4786,"M","1938-08-16","Brno - mesto"
"3586",4033,"1996-11-19","monthly","Hodonin",1,NA,"1997-03-20",84288,1756,48,"current",FALSE,14720,15,51550,1000,0,0,0,29,340240,11732.4137931034,25,3272,130.88,20,29880,1494,20,300,15,31,179220,5781.29032258064,21,36876,1756,0,0,0,21,58968,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019.33333333333,4861,"F","1977-11-01","Hodonin"
"3595",4079,"1993-11-03","monthly","Usti nad Orlici",1,NA,"1995-04-05",158976,3312,48,"current",FALSE,61400,15,137121,600,0,0,0,120,2474382,20619.85,61,11798,193.409836065574,59,295531,5009,58,870,15,123,1979607,16094.3658536585,45,149040,3312,59,18939,321,59,12862,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2215,4916,"M","1939-01-09","Usti nad Orlici"
"3596",4081,"1995-07-22","monthly","Praha - zapad",1,NA,"1995-11-28",137904,5746,24,"expired",TRUE,14000,1,53113,-14137,0,0,0,46,540471,11749.3695652174,41,2105,51.3414634146341,0,0,0,36,540,15,27,141480,5240,17,97682,5746,0,0,0,0,0,0,0,0,0,0,0,0,36,295700,8213.88888888889,12,130,10.8333333333333,0,0,0,1,5746,4918,"M","1968-05-06","Praha - zapad"
"3604",4099,"1996-05-26","monthly","Brno - mesto",1,NA,"1997-07-31",41856,872,48,"current",FALSE,17900,15,73519,800,0,0,0,32,617696,19303,31,4674,150.774193548387,27,52002,1926,26,390,15,66,455000,6893.93939393939,17,14824,872,27,35046,1298,27,10881,403,0,0,0,2,2700,1350,0,0,0,0,0,0,0,0,0,4,1124.75,4937,"F","1960-11-09","Brno - mesto"
"3609",4116,"1997-10-05","monthly","Kutna Hora",1,NA,"1998-06-03",151200,4200,36,"current",FALSE,45100,15,127678,1000,0,0,0,27,743283,27529,15,3059,203.933333333333,9,130032,14448,9,135,15,27,493401,18274.1111111111,7,29400,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9324.1,4956,"M","1946-10-10","Kutna Hora"
"3612",4127,"1996-05-03","monthly","Svitavy",1,NA,"1997-08-15",100800,4200,24,"current",TRUE,34500,2,92355,-2930,0,0,0,16,287030,17939.375,21,1471,70.0476190476191,7,77735,11105,23,345,15,18,190887,10604.8333333333,3,12600,4200,22,1518,69,22,4862,221,0,0,0,0,0,0,0,0,0,10,179,17.9,0,0,0,4,3898.8,4968,"M","1938-05-26","Svitavy"
"3620",4144,"1996-08-19","monthly","Hl.m. Praha",2,NA,"1998-06-21",212976,5916,36,"current",FALSE,61900,15,119288,1100,0,0,0,48,1023096,21314.5,27,4851,179.666666666667,24,210072,8753,24,360,15,56,748972,13374.5,6,35496,5916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7334.35,4993,"F","1973-06-27","Hl.m. Praha"
"3629",4190,"1995-10-04","monthly","Uherske Hradiste",1,NA,"1997-08-28",405780,6763,60,"current",FALSE,15680,15,54225,700,0,0,0,67,563215,8406.19402985075,39,4949,126.897435897436,35,101535,2901,34,510,15,56,255120,4555.71428571429,16,108208,6763,34,42228,1242,35,38500,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3001.5,5050,"M","1951-01-19","Uherske Hradiste"
"3641",4259,"1994-04-08","monthly","Zdar nad Sazavou",1,NA,"1994-08-27",79632,3318,24,"expired",FALSE,64300,15,124466,900,57,2734820,47979.298245614,1,900,900,57,13402,235.122807017544,53,504348,9516,52,780,15,162,1987698,12269.7407407407,24,79632,3318,0,0,0,52,117260,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5029.66666666667,5133,"F","1959-08-10","Zdar nad Sazavou"
"3642",4260,"1993-10-14","monthly","Breclav",1,NA,"1994-06-29",244560,4076,60,"current",FALSE,30600,15,72513,1000,62,1650583,26622.3064516129,3,3100,1033.33333333333,62,6826,110.096774193548,58,696348,12006,57,855,15,69,691275,10018.4782608696,54,220104,4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8040.75,NA,"","",""
"3646",4268,"1997-02-20","monthly","Vsetin",2,NA,"1998-11-04",41988,3499,12,"current",FALSE,33280,15,66016,200,0,0,0,39,341858,8765.58974358974,22,3586,163,17,112982,6646,17,255,15,44,163260,3710.45454545455,2,6998,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5072.5,5143,"M","1973-03-09","Vsetin"
"3655",4320,"1996-07-23","monthly","Trebic",1,NA,"1997-08-09",51360,4280,12,"expired",TRUE,59000,1,158634,-5295,0,0,0,54,1454134,26928.4074074074,30,4741,158.033333333333,0,0,0,24,360,15,73,1371382,18786.0547945205,11,47080,4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,8.25,0,0,0,1,4280,5203,"F","1945-09-08","Trebic"
"3662",4337,"1993-11-16","monthly","Rokycany",1,NA,"1994-12-08",51408,2142,24,"expired",FALSE,58700,15,140842,900,0,0,0,104,2549374,24513.2115384615,61,14959,245.229508196721,0,0,0,56,840,15,161,2455073,15248.900621118,24,51408,2142,0,0,0,0,0,0,0,0,0,1,3700,3700,0,0,0,0,0,0,0,0,0,1,2142,5224,"M","1949-07-24","Rokycany"
"3663",4342,"1996-04-29","monthly","Ostrava - mesto",1,NA,"1997-12-09",100128,4172,24,"current",FALSE,63800,15,140823,700,0,0,0,60,1299133,21652.2166666667,32,9084,283.875,29,177915,6135,29,435,15,81,1012558,12500.7160493827,13,54236,4172,0,0,0,0,0,0,0,0,0,1,600,600,0,0,0,0,0,0,0,0,0,2,5153.5,5232,"F","1948-04-06","Ostrava - mesto"
"3670",4354,"1997-01-08","monthly","Louny",1,NA,"1998-10-30",327660,5461,60,"current",FALSE,37500,15,112776,1000,0,0,0,33,838203,25400.0909090909,23,4876,212,19,242364,12756,18,270,15,48,535471,11155.6458333333,2,10922,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9108.65,5245,"F","1942-03-18","Louny"
"3674",4361,"1996-03-11","monthly","Jesenik",2,NA,"1997-03-29",90156,7513,12,"expired",FALSE,63000,15,150627,700,34,1667812,49053.2941176471,6,37600,6266.66666666667,34,11250,330.882352941176,0,0,0,29,435,15,87,1495814,17193.2643678161,12,90156,7513,0,0,0,0,0,0,0,0,0,6,27500,4583.33333333333,0,0,0,0,0,0,0,0,0,1,7512.7,5253,"F","1946-10-07","Jesenik"
"3683",4414,"1993-09-10","monthly","Karlovy Vary",2,NA,"1995-02-23",97224,4051,24,"expired",FALSE,11700,15,68273,1000,0,0,0,108,904403,8374.10185185185,63,8196,130.095238095238,59,219244,3716,58,870,15,107,356720,3333.83177570093,24,97224,4051,0,0,0,59,207031,3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3758.66666666667,NA,"","",""
"3684",4415,"1995-07-05","monthly","Opava",1,NA,"1997-04-01",74040,6170,12,"expired",FALSE,35680,15,87902,600,0,0,0,49,1119842,22853.9183673469,42,7947,189.214285714286,38,174838,4601,37,555,15,105,684360,6517.71428571429,12,74040,6170,38,2926,77,76,144590,1902.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2930.6,5322,"F","1956-03-13","Opava"
"3687",4423,"1995-04-26","monthly","Most",1,NA,"1995-10-31",73836,2051,36,"expired",FALSE,48100,15,129608,900,0,0,0,68,1383238,20341.7352941176,44,7459,169.522727272727,38,48526,1277,38,570,15,71,1041859,14674.0704225352,36,73836,2051,0,0,0,38,152570,4015,0,0,0,2,4500,2250,0,0,0,0,0,0,0,0,0,3,2447.66666666667,5333,"F","1967-05-29","Most"
"3689",4427,"1993-06-07","monthly","Ceska Lipa",2,NA,"1994-09-26",87816,7318,12,"expired",FALSE,10300,15,43442,800,0,0,0,100,811266,8112.66,66,4618,69.969696969697,62,310310,5005,61,915,15,71,402640,5670.98591549296,12,87816,7318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6161.5,NA,"","",""
